Día,Hora,Peaje,Periodo,"Término energía PVPC
FEU = TEU + TCU
€/MWh consumo","Peajes y cargos TEU
€/MWh consumo","Precio producción
TCU=CP x(1+PERD/100)
€/MWh consumo"
2024-03-02,1.0,2.0TD,3.0,45.6262381345,2.752,42.8742381345
2024-03-02,2.0,2.0TD,3.0,45.545985781,2.752,42.793985781
2024-03-02,3.0,2.0TD,3.0,45.7915380494,2.752,43.0395380494
2024-03-02,4.0,2.0TD,3.0,44.7289488055,2.752,41.9769488055
2024-03-02,5.0,2.0TD,3.0,46.3218295617,2.752,43.5698295617
2024-03-02,6.0,2.0TD,3.0,46.1003888055,2.752,43.3483888055
2024-03-02,7.0,2.0TD,3.0,44.7307352933,2.752,41.9787352933
2024-03-02,8.0,2.0TD,3.0,44.4820881345,2.752,41.7300881345
2024-03-02,9.0,2.0TD,3.0,47.3576513047,2.752,44.6056513047
2024-03-02,10.0,2.0TD,3.0,44.1382366091,2.752,41.3862366091
2024-03-02,11.0,2.0TD,3.0,44.8773569626,2.752,42.1253569626
2024-03-02,12.0,2.0TD,3.0,43.5729348284,2.752,40.8209348284
2024-03-02,13.0,2.0TD,3.0,43.3362368284,2.752,40.5842368284
2024-03-02,14.0,2.0TD,3.0,42.40935856,2.752,39.65735856
2024-03-02,15.0,2.0TD,3.0,42.6538066942,2.752,39.9018066942
2024-03-02,16.0,2.0TD,3.0,42.9163553653,2.752,40.1643553653
2024-03-02,17.0,2.0TD,3.0,45.959520524,2.752,43.207520524
2024-03-02,18.0,2.0TD,3.0,46.5653760363,2.752,43.8133760363
2024-03-02,19.0,2.0TD,3.0,43.9718905731,2.752,41.2198905731
2024-03-02,20.0,2.0TD,3.0,46.7923317319,2.752,44.0403317319
2024-03-02,21.0,2.0TD,3.0,74.9497681099,2.752,72.1977681099
2024-03-02,22.0,2.0TD,3.0,75.1142143538,2.752,72.3622143538
2024-03-02,23.0,2.0TD,3.0,45.3219031099,2.752,42.5699031099
2024-03-02,24.0,2.0TD,3.0,42.9989463784,2.752,40.2469463784
2024-03-03,1.0,2.0TD,3.0,48.3976001274,2.752,45.6456001274
2024-03-03,2.0,2.0TD,3.0,47.4778869934,2.752,44.7258869934
2024-03-03,3.0,2.0TD,3.0,50.1158649528,2.752,47.3638649528
2024-03-03,4.0,2.0TD,3.0,50.5085547376,2.752,47.7565547376
2024-03-03,5.0,2.0TD,3.0,51.8171962085,2.752,49.0651962085
2024-03-03,6.0,2.0TD,3.0,51.9670758946,2.752,49.2150758946
2024-03-03,7.0,2.0TD,3.0,50.6834589528,2.752,47.9314589528
2024-03-03,8.0,2.0TD,3.0,49.0469330692,2.752,46.2949330692
2024-03-03,9.0,2.0TD,3.0,46.379204459,2.752,43.627204459
2024-03-03,10.0,2.0TD,3.0,43.2362961627,2.752,40.4842961627
2024-03-03,11.0,2.0TD,3.0,41.2053802791,2.752,38.4533802791
2024-03-03,12.0,2.0TD,3.0,45.1716864942,2.752,42.4196864942
2024-03-03,13.0,2.0TD,3.0,45.0278450233,2.752,42.2758450233
2024-03-03,14.0,2.0TD,3.0,44.7073987094,2.752,41.9553987094
2024-03-03,15.0,2.0TD,3.0,44.7911470233,2.752,42.0391470233
2024-03-03,16.0,2.0TD,3.0,45.8811209069,2.752,43.1291209069
2024-03-03,17.0,2.0TD,3.0,48.4398163196,2.752,45.6878163196
2024-03-03,18.0,2.0TD,3.0,43.7107967905,2.752,40.9587967905
2024-03-03,19.0,2.0TD,3.0,38.4838348893,2.752,35.7318348893
2024-03-03,20.0,2.0TD,3.0,45.1025883602,2.752,42.3505883602
2024-03-03,21.0,2.0TD,3.0,71.3081883602,2.752,68.5561883602
2024-03-03,22.0,2.0TD,3.0,73.5475355172,2.752,70.7955355172
2024-03-03,23.0,2.0TD,3.0,54.234360459,2.752,51.482360459
2024-03-03,24.0,2.0TD,3.0,42.7293799299,2.752,39.9773799299
2024-03-04,1.0,2.0TD,3.0,53.5743212857,2.752,50.8223212857
2024-03-04,2.0,2.0TD,3.0,51.746157945,2.752,48.994157945
2024-03-04,3.0,2.0TD,3.0,54.5337256043,2.752,51.7817256043
2024-03-04,4.0,2.0TD,3.0,55.4642111726,2.752,52.7122111726
2024-03-04,5.0,2.0TD,3.0,55.1041146953,2.752,52.3521146953
2024-03-04,6.0,2.0TD,3.0,54.2158295133,2.752,51.4638295133
2024-03-04,7.0,2.0TD,3.0,51.5993194899,2.752,48.8473194899
2024-03-04,8.0,2.0TD,3.0,66.1177420802,2.752,63.3657420802
2024-03-04,9.0,2.0TD,2.0,93.7120368527,27.963,65.7490368527
2024-03-04,10.0,2.0TD,2.0,81.4302069658,27.963,53.4672069658
2024-03-04,11.0,2.0TD,1.0,124.4098889658,76.974,47.4358889658
2024-03-04,12.0,2.0TD,1.0,120.7686879203,76.974,43.7946879203
2024-03-04,13.0,2.0TD,1.0,121.089773352,76.974,44.115773352
2024-03-04,14.0,2.0TD,1.0,120.5603087383,76.974,43.5863087383
2024-03-04,15.0,2.0TD,2.0,69.2912278748,27.963,41.3282278748
2024-03-04,16.0,2.0TD,2.0,68.9852964886,27.963,41.0222964886
2024-03-04,17.0,2.0TD,2.0,71.0271371479,27.963,43.0641371479
2024-03-04,18.0,2.0TD,2.0,72.2376627617,27.963,44.2746627617
2024-03-04,19.0,2.0TD,1.0,120.8964801479,76.974,43.9224801479
2024-03-04,20.0,2.0TD,1.0,128.5413897161,76.974,51.5673897161
2024-03-04,21.0,2.0TD,1.0,141.3129142389,76.974,64.3389142389
2024-03-04,22.0,2.0TD,1.0,133.3097187617,76.974,56.3357187617
2024-03-04,23.0,2.0TD,2.0,77.3557620802,27.963,49.3927620802
2024-03-04,24.0,2.0TD,2.0,70.1842097395,27.963,42.2212097395
2024-03-05,1.0,2.0TD,3.0,42.994991934,2.752,40.242991934
2024-03-05,2.0,2.0TD,3.0,42.780825303,2.752,40.028825303
2024-03-05,3.0,2.0TD,3.0,45.610728672,2.752,42.858728672
2024-03-05,4.0,2.0TD,3.0,45.5557766935,2.752,42.8037766935
2024-03-05,5.0,2.0TD,3.0,46.8057860196,2.752,44.0537860196
2024-03-05,6.0,2.0TD,3.0,48.6957870196,2.752,45.9437870196
2024-03-05,7.0,2.0TD,3.0,64.8143775864,2.752,62.0623775864
2024-03-05,8.0,2.0TD,3.0,91.1799201531,2.752,88.4279201531
2024-03-05,9.0,2.0TD,2.0,130.5093350889,27.963,102.5463350889
2024-03-05,10.0,2.0TD,2.0,78.4294429604,27.963,50.4664429604
2024-03-05,11.0,2.0TD,1.0,118.7272199818,76.974,41.7532199818
2024-03-05,12.0,2.0TD,1.0,114.2923870032,76.974,37.3183870032
2024-03-05,13.0,2.0TD,1.0,113.9451476556,76.974,36.9711476556
2024-03-05,14.0,2.0TD,1.0,113.549992308,76.974,36.575992308
2024-03-05,15.0,2.0TD,2.0,63.8944883509,27.963,35.9314883509
2024-03-05,16.0,2.0TD,2.0,65.0651870675,27.963,37.1021870675
2024-03-05,17.0,2.0TD,2.0,67.6053017841,27.963,39.6423017841
2024-03-05,18.0,2.0TD,2.0,79.1877934579,27.963,51.2247934579
2024-03-05,19.0,2.0TD,1.0,164.2833780247,76.974,87.3093780247
2024-03-05,20.0,2.0TD,1.0,251.8765200247,76.974,174.9025200247
2024-03-05,21.0,2.0TD,1.0,257.0569990461,76.974,180.0829990461
2024-03-05,22.0,2.0TD,1.0,220.7195917199,76.974,143.7455917199
2024-03-05,23.0,2.0TD,2.0,156.0963861531,27.963,128.1333861531
2024-03-05,24.0,2.0TD,2.0,141.6615458698,27.963,113.6985458698
2024-03-06,1.0,2.0TD,3.0,114.3138225544,2.752,111.5618225544
2024-03-06,2.0,2.0TD,3.0,92.4100193812,2.752,89.6580193812
2024-03-06,3.0,2.0TD,3.0,93.4851203546,2.752,90.7331203546
2024-03-06,4.0,2.0TD,3.0,92.4808846479,2.752,89.7288846479
2024-03-06,5.0,2.0TD,3.0,83.3047156479,2.752,80.5527156479
